CountryCode,RegionName,Population
ABW,nan,106957
AFG,nan,38928341
AGO,nan,32866268
ALB,nan,2877800
AND,nan,77265
ARE,nan,9890400
ARG,nan,45195777
AUS,nan,25499881
AUT,nan,9006400
AZE,nan,10139175
BDI,nan,11890781
BEL,nan,11589616
BEN,nan,12123198
BFA,nan,20903278
BGD,nan,164689383
BGR,nan,6948445
BHR,nan,1701583
BHS,nan,393248
BIH,nan,3280815
BLR,nan,9449321
BLZ,nan,397621
BMU,nan,62182
BOL,nan,11673029
BRA,Acre,894470
BRA,Alagoas,3351543
BRA,Amazonas,4207714
BRA,Amapa,861773
BRA,Bahia,14930634
BRA,Ceara,9187103
BRA,Distrito Federal,3055149
BRA,Espirito Santo,4064052
BRA,Goias,7113540
BRA,Maranhao,7114598
BRA,Minas Gerais,21292666
BRA,Mato Grosso do Sul,2809394
BRA,Mato Grosso,3526220
BRA,Para,8690745
BRA,Paraiba,4039277
BRA,Pernambuco,9616621
BRA,Piaui,3281480
BRA,Parana,11516840
BRA,Rio de Janeiro,17366189
BRA,Rio Grande do Norte,3534165
BRA,Rondonia,1796460
BRA,Roraima,631181
BRA,Rio Grande do Sul,11422973
BRA,Santa Catarina,7252502
BRA,Sergipe,2318822
BRA,Sao Paulo,46289333
BRA,Tocantins,1590248
BRA,nan,212559409
BRB,nan,287371
BRN,nan,437483
BTN,nan,771612
BWA,nan,2351625
CAF,nan,4829764
CAN,nan,37742157
CHE,nan,8654618
CHL,nan,19116209
CHN,nan,1439323774
CIV,nan,26378275
CMR,nan,26545864
COD,nan,89561404
COG,nan,5518092
COL,nan,50882884
COM,nan,869595
CPV,nan,555988
CRI,nan,5094114
CUB,nan,11326616
CYP,nan,875899
CZE,nan,10718271
DEU,nan,83783945
DJI,nan,988002
DMA,nan,71991
DNK,nan,5792203
DOM,nan,10847904
DZA,nan,43851043
ECU,nan,17643060
EGY,nan,102334403
ERI,nan,3546427
ESP,nan,46754783
EST,nan,1326539
ETH,nan,114963583
FIN,nan,5540718
FJI,nan,896444
FRA,nan,65273512
FRO,nan,48863
GAB,nan,2225728
GBR,nan,67886004
GBR,England,56286961
GBR,Northern Ireland,1893667
GBR,Scotland,5463300
GBR,Wales,3152879
GEO,nan,3989175
GHA,nan,31072945
GIN,nan,13132792
GMB,nan,2416664
GRC,nan,10423056
GRL,nan,56770
GTM,nan,17915567
GUM,nan,169715
GUY,nan,786559
HKG,nan,7496988
HND,nan,9904608
HRV,nan,4105268
HTI,nan,11402533
HUN,nan,9660350
IDN,nan,273523621
IND,nan,1380004385
IRL,nan,4937796
IRN,nan,83992953
IRQ,nan,40222503
ISL,nan,341250
ISR,nan,8655541
ITA,nan,60461828
JAM,nan,2961161
JOR,nan,10203140
JPN,nan,126476458
KAZ,nan,18776707
KEN,nan,53771300
KGZ,nan,6524191
KHM,nan,16718971
KOR,nan,51269183
KWT,nan,4270563
LAO,nan,7275556
LBN,nan,6825442
LBR,nan,5057677
LBY,nan,6871287
LKA,nan,21413250
LSO,nan,2142252
LTU,nan,2722291
LUX,nan,625976
LVA,nan,1886202
MAC,nan,653033
MAR,nan,36910558
MCO,nan,39244
MDA,nan,4033963
MDG,nan,27691019
MEX,nan,128932753
MLI,nan,20250834
MMR,nan,54409794
MNG,nan,3278292
MOZ,nan,31255435
MRT,nan,4649660
MUS,nan,1271767
MWI,nan,19129955
MYS,nan,32365998
NAM,nan,2540916
NER,nan,24206636
NGA,nan,206139587
NIC,nan,6624554
NLD,nan,17134873
NOR,nan,5421242
NPL,nan,29136808
NZL,nan,4822233
OMN,nan,5106622
PAK,nan,220892331
PAN,nan,4314768
PER,nan,32971846
PHL,nan,109581085
PNG,nan,8947027
POL,nan,37846605
PRI,nan,3032160
PRT,nan,10196707
PRY,nan,7132530
PSE,nan,5101416
QAT,nan,2881060
RKS,nan,1932774
ROU,nan,19237682
RUS,nan,145934460
RWA,nan,12952209
SAU,nan,34813867
SDN,nan,43849269
SEN,nan,16743930
SGP,nan,5850343
SLB,nan,686878
SLE,nan,7976985
SLV,nan,6486201
SMR,nan,33938
SOM,nan,15893219
SRB,nan,6804596
SSD,nan,11193729
SUR,nan,586634
SVK,nan,5459643
SVN,nan,2078932
SWE,nan,10099270
SWZ,nan,1160164
SYC,nan,98340
SYR,nan,17500657
TCD,nan,16425859
TGO,nan,8278737
THA,nan,69799978
TJK,nan,9537642
TKM,nan,6068294
TLS,nan,1318442
TON,nan,106251
TTO,nan,1399491
TUN,nan,11818618
TUR,nan,84339067
TWN,nan,23816775
TZA,nan,59734213
UGA,nan,45741000
UKR,nan,43733759
URY,nan,3473727
USA,nan,331002647
USA,Alaska,734002
USA,Alabama,4908620
USA,Arkansas,3039000
USA,Arizona,7378490
USA,California,39937500
USA,Colorado,5845530
USA,Connecticut,3563080
USA,Washington DC,720687
USA,Delaware,982895
USA,Florida,21993000
USA,Georgia,10736100
USA,Hawaii,1412690
USA,Iowa,3179850
USA,Idaho,1826160
USA,Illinois,12659700
USA,Indiana,6745350
USA,Kansas,2910360
USA,Kentucky,4499690
USA,Louisiana,4645180
USA,Massachusetts,6976600
USA,Maryland,6083120
USA,Maine,1345790
USA,Michigan,10045000
USA,Minnesota,5700670
USA,Missouri,6169270
USA,Mississippi,2989260
USA,Montana,1086760
USA,North Carolina,10611900
USA,North Dakota,761723
USA,Nebraska,1952570
USA,New Hampshire,1371250
USA,New Jersey,8936570
USA,New Mexico,2096640
USA,Nevada,3139660
USA,New York,19440500
USA,Ohio,11747700
USA,Oklahoma,3954820
USA,Oregon,4301090
USA,Pennsylvania,12820900
USA,Rhode Island,1056160
USA,South Carolina,5210100
USA,South Dakota,903027
USA,Tennessee,6897580
USA,Texas,29472300
USA,Utah,3282120
USA,Virginia,8626210
USA,Virgin Islands,104362
USA,Vermont,628061
USA,Washington,7797100
USA,Wisconsin,5851750
USA,West Virginia,1778070
USA,Wyoming,567025
UZB,nan,33469199
VEN,nan,28435943
VIR,nan,104362
VNM,nan,97338583
VUT,nan,307150
YEM,nan,29825968
ZAF,nan,59308690
ZMB,nan,18619357
ZWE,nan,14963051
